funcid,dim,milestone,error
10,10,1,2.016304e+03
10,10,2,1.990647e+03
10,10,3,1.990647e+03
10,10,5,1.649691e+03
10,10,10,1.649691e+03
10,10,20,1.649691e+03
10,10,30,1.649691e+03
10,10,40,1.649691e+03
10,10,50,1.578219e+03
10,10,60,1.149300e+03
10,10,70,1.149300e+03
10,10,80,1.149300e+03
10,10,90,1.149300e+03
10,10,100,1.149300e+03
10,10,1,1.810086e+03
10,10,2,1.810086e+03
10,10,3,1.810086e+03
10,10,5,1.810086e+03
10,10,10,1.704847e+03
10,10,20,1.681847e+03
10,10,30,1.569810e+03
10,10,40,1.323831e+03
10,10,50,1.118238e+03
10,10,60,6.301181e+02
10,10,70,6.301181e+02
10,10,80,6.301181e+02
10,10,90,6.301181e+02
10,10,100,6.301181e+02
10,10,1,1.880262e+03
10,10,2,1.880262e+03
10,10,3,1.849788e+03
10,10,5,1.600009e+03
10,10,10,1.600009e+03
10,10,20,1.251962e+03
10,10,30,1.251962e+03
10,10,40,1.251962e+03
10,10,50,1.251962e+03
10,10,60,1.251962e+03
10,10,70,1.251962e+03
10,10,80,1.251962e+03
10,10,90,1.251962e+03
10,10,100,1.251962e+03
10,10,1,9.348009e+02
10,10,2,7.843499e+02
10,10,3,7.411163e+02
10,10,5,7.287456e+02
10,10,10,7.138444e+02
10,10,20,7.103400e+02
10,10,30,7.092259e+02
10,10,40,7.087293e+02
10,10,50,7.082309e+02
10,10,60,7.079434e+02
10,10,70,7.078088e+02
10,10,80,7.077595e+02
10,10,90,7.077034e+02
10,10,100,7.076892e+02
10,10,1,1.704866e+03
10,10,2,1.587445e+03
10,10,3,1.189128e+03
10,10,5,1.077508e+03
10,10,10,1.045253e+03
10,10,20,9.899563e+02
10,10,30,9.773865e+02
10,10,40,9.773865e+02
10,10,50,9.574322e+02
10,10,60,9.566404e+02
10,10,70,9.537038e+02
10,10,80,9.533429e+02
10,10,90,9.533429e+02
10,10,100,9.523636e+02
10,10,1,1.913273e+03
10,10,2,1.418615e+03
10,10,3,1.342454e+03
10,10,5,1.333634e+03
10,10,10,1.142044e+03
10,10,20,1.116020e+03
10,10,30,1.054846e+03
10,10,40,9.657912e+02
10,10,50,9.657912e+02
10,10,60,9.657912e+02
10,10,70,9.563062e+02
10,10,80,9.466781e+02
10,10,90,9.105980e+02
10,10,100,9.091455e+02
10,10,1,1.342094e+03
10,10,2,1.337203e+03
10,10,3,1.337203e+03
10,10,5,1.276502e+03
10,10,10,1.248556e+03
10,10,20,1.238577e+03
10,10,30,1.222490e+03
10,10,40,1.222490e+03
10,10,50,1.184557e+03
10,10,60,1.184557e+03
10,10,70,1.184557e+03
10,10,80,1.183913e+03
