funcid,dim,milestone,error
10,10,1,2.016304e+03
10,10,2,1.990647e+03
10,10,3,1.990647e+03
10,10,5,1.649691e+03
10,10,10,1.649691e+03
10,10,20,1.649691e+03
10,10,30,1.649691e+03
10,10,40,1.649691e+03
10,10,50,1.578219e+03
10,10,60,1.149300e+03
10,10,70,1.149300e+03
10,10,80,1.149300e+03
10,10,90,1.149300e+03
10,10,100,1.149300e+03
10,10,1,1.810086e+03
10,10,2,1.810086e+03
10,10,3,1.810086e+03
10,10,5,1.810086e+03
10,10,10,1.704847e+03
10,10,20,1.681847e+03
10,10,30,1.569810e+03
10,10,40,1.323831e+03
10,10,50,1.118238e+03
10,10,60,6.301181e+02
10,10,70,6.301181e+02
10,10,80,6.301181e+02
10,10,90,6.301181e+02
10,10,100,6.301181e+02
10,10,1,1.880262e+03
10,10,2,1.880262e+03
10,10,3,1.849788e+03
10,10,5,1.600009e+03
10,10,10,1.600009e+03
10,10,20,1.251962e+03
10,10,30,1.251962e+03
10,10,40,1.251962e+03
10,10,50,1.251962e+03
10,10,60,1.251962e+03
10,10,70,1.251962e+03
10,10,80,1.251962e+03
10,10,90,1.251962e+03
10,10,100,1.251962e+03
