funcid,dim,milestone,error
6,10,1,2.963963e+01
6,10,2,2.006089e+01
6,10,3,2.006089e+01
6,10,5,2.006089e+01
6,10,10,2.006089e+01
6,10,20,2.006089e+01
6,10,30,1.970529e+01
6,10,40,1.695925e+01
6,10,50,1.695925e+01
6,10,60,1.695925e+01
6,10,70,1.695925e+01
6,10,80,1.532049e+01
6,10,90,1.532049e+01
6,10,100,1.532049e+01
6,10,1,3.756213e+01
6,10,2,2.789878e+01
6,10,3,2.715453e+01
6,10,5,2.570517e+01
6,10,10,2.570517e+01
6,10,20,2.570517e+01
6,10,30,2.556484e+01
6,10,40,1.624415e+01
6,10,50,1.275485e+01
6,10,60,1.275485e+01
6,10,70,9.304582e+00
6,10,80,9.304582e+00
6,10,90,9.304582e+00
6,10,100,9.304582e+00
6,10,1,3.233417e+01
6,10,2,1.672201e+01
6,10,3,1.672201e+01
6,10,5,1.001244e+01
6,10,10,1.001244e+01
6,10,20,8.475641e+00
6,10,30,7.676249e+00
6,10,40,7.676249e+00
6,10,50,7.676249e+00
6,10,60,6.707502e+00
6,10,70,6.707502e+00
6,10,80,6.707502e+00
6,10,90,6.707502e+00
6,10,100,6.707502e+00
6,10,1,8.740001e+01
6,10,2,5.026611e+01
6,10,3,3.958913e+01
6,10,5,3.889147e+01
6,10,10,3.806383e+01
6,10,20,3.661615e+01
6,10,30,3.618393e+01
6,10,40,3.518651e+01
6,10,50,3.505726e+01
6,10,60,3.487695e+01
6,10,70,1.495596e+01
6,10,80,1.405269e+01
6,10,90,1.402245e+01
6,10,100,1.402121e+01
6,10,1,6.029139e+01
6,10,2,4.764227e+01
6,10,3,2.911471e+01
6,10,5,2.903637e+01
6,10,10,2.903637e+01
6,10,20,2.883494e+01
6,10,30,2.879329e+01
6,10,40,2.860951e+01
6,10,50,2.851594e+01
6,10,60,2.835518e+01
6,10,70,2.683787e+01
6,10,80,2.454336e+01
6,10,90,2.229706e+01
6,10,100,2.144259e+01
6,10,1,4.150539e+01
6,10,2,4.094994e+01
6,10,3,4.076735e+01
6,10,5,4.015000e+01
6,10,10,3.890831e+01
6,10,20,3.886350e+01
6,10,30,3.856437e+01
6,10,40,3.847670e+01
6,10,50,3.836033e+01
6,10,60,3.819157e+01
6,10,1,3.460500e+01
6,10,2,3.190279e+01
6,10,3,3.190279e+01
6,10,5,2.914282e+01
6,10,10,2.730104e+01
6,10,20,2.666445e+01
6,10,30,2.599439e+01
6,10,40,2.595494e+01
6,10,50,2.578471e+01
6,10,60,2.128180e+01
6,10,70,1.870411e+01
6,10,80,1.868457e+01
6,10,90,1.813048e+01
6,10,100,1.703742e+01
6,10,1,2.485983e+01
6,10,2,1.728943e+01
6,10,3,1.363023e+01
6,10,5,1.074525e+01
6,10,10,8.577733e+00
6,10,20,7.876006e+00
6,10,30,7.858498e+00
6,10,40,7.852333e+00
6,10,50,7.624645e+00
6,10,60,7.532318e+00
6,10,70,7.532318e+00
6,10,80,7.447517e+00
6,10,90,7.436943e+00
6,10,100,7.436943e+00
6,10,1,5.448684e+01
6,10,2,4.674417e+01
6,10,3,4.251892e+01
