funcid,dim,milestone,error
25,10,1,5.029439e+02
25,10,2,5.029439e+02
25,10,3,5.029439e+02
25,10,5,5.029439e+02
25,10,10,5.029439e+02
25,10,20,5.029439e+02
25,10,30,4.742014e+02
25,10,40,4.742014e+02
25,10,50,4.742014e+02
25,10,60,4.742014e+02
25,10,70,4.608632e+02
25,10,80,4.608632e+02
25,10,90,4.608632e+02
25,10,100,4.608632e+02
25,10,1,5.150399e+02
25,10,2,5.138298e+02
25,10,3,5.138298e+02
25,10,5,5.001123e+02
25,10,10,4.643705e+02
25,10,20,4.625641e+02
25,10,30,4.549740e+02
25,10,40,4.549740e+02
25,10,50,4.549740e+02
25,10,60,4.549740e+02
25,10,70,4.549740e+02
25,10,80,4.549740e+02
25,10,90,4.537286e+02
25,10,100,4.518232e+02
25,10,1,4.386634e+02
25,10,2,4.192590e+02
25,10,3,4.192590e+02
25,10,5,4.159033e+02
25,10,10,4.159033e+02
25,10,20,4.159033e+02
25,10,30,4.110595e+02
25,10,40,4.110595e+02
25,10,50,4.080194e+02
25,10,60,4.080194e+02
25,10,70,4.075057e+02
25,10,80,4.075057e+02
25,10,90,4.075057e+02
25,10,100,4.075057e+02
25,10,1,4.596741e+02
25,10,2,4.527631e+02
25,10,3,4.503550e+02
25,10,5,4.494115e+02
25,10,10,4.493578e+02
25,10,20,4.479322e+02
25,10,30,4.474628e+02
25,10,40,4.473591e+02
25,10,50,4.473325e+02
25,10,60,4.473325e+02
25,10,70,4.473140e+02
25,10,80,4.473130e+02
25,10,90,4.473035e+02
25,10,100,4.473031e+02
25,10,1,5.187653e+02
25,10,2,4.704551e+02
25,10,3,4.680718e+02
25,10,5,4.656108e+02
25,10,10,4.630780e+02
25,10,20,4.577341e+02
25,10,30,4.564476e+02
25,10,40,4.543170e+02
25,10,50,4.543036e+02
25,10,60,4.517812e+02
25,10,70,4.516583e+02
25,10,80,4.516245e+02
25,10,90,4.499171e+02
25,10,100,4.495755e+02
25,10,1,4.673372e+02
25,10,2,4.553806e+02
25,10,3,4.548371e+02
25,10,5,4.512449e+02
25,10,10,4.498523e+02
25,10,20,4.491540e+02
25,10,30,4.491089e+02
25,10,40,4.491073e+02
25,10,50,4.490073e+02
25,10,60,4.490073e+02
25,10,70,4.489317e+02
25,10,80,4.488447e+02
25,10,90,4.488383e+02
25,10,100,4.488383e+02
25,10,1,4.613979e+02
25,10,2,4.545353e+02
25,10,3,4.542232e+02
25,10,5,4.532329e+02
25,10,10,4.402770e+02
25,10,20,4.140360e+02
25,10,30,4.110629e+02
25,10,40,4.062520e+02
25,10,50,4.058593e+02
25,10,60,4.049640e+02
25,10,70,4.042510e+02
25,10,80,4.042510e+02
25,10,90,4.041616e+02
25,10,100,4.041616e+02
25,10,1,4.894573e+02
25,10,2,4.595187e+02
25,10,3,4.559141e+02
25,10,5,4.506181e+02
25,10,10,4.475475e+02
25,10,20,4.463799e+02
25,10,30,4.448374e+02
25,10,40,4.448374e+02
25,10,50,4.447342e+02
25,10,60,4.443839e+02
25,10,70,4.443839e+02
25,10,80,4.443839e+02
25,10,90,4.443839e+02
25,10,100,4.443839e+02
25,10,1,4.561439e+02
25,10,2,4.538264e+02
25,10,3,4.498231e+02
25,10,5,4.498231e+02
25,10,10,4.487521e+02
25,10,20,4.480128e+02
25,10,30,4.479798e+02
25,10,40,4.478680e+02
25,10,50,4.478680e+02
25,10,60,4.478680e+02
25,10,70,4.478680e+02
25,10,80,4.478680e+02
25,10,90,4.476045e+02
25,10,100,4.476045e+02
25,10,1,5.205198e+02
25,10,2,4.603538e+02
25,10,3,4.464696e+02
25,10,5,4.357153e+02
25,10,10,4.086087e+02
25,10,20,4.015941e+02
25,10,30,4.011123e+02
25,10,40,4.007124e+02
25,10,50,4.000589e+02
25,10,60,3.995278e+02
25,10,70,3.995278e+02
25,10,80,3.995278e+02
25,10,90,3.995278e+02
25,10,100,3.995278e+02
