funcid,dim,milestone,error
21,10,1,2.781074e+02
21,10,2,2.661440e+02
21,10,3,2.521322e+02
21,10,5,2.521322e+02
21,10,10,2.521322e+02
21,10,20,2.521322e+02
21,10,30,2.521322e+02
21,10,40,2.521322e+02
21,10,50,2.521322e+02
21,10,60,2.521322e+02
21,10,70,2.516444e+02
21,10,80,2.444310e+02
21,10,90,2.444310e+02
21,10,100,2.444310e+02
21,10,1,2.649730e+02
21,10,2,2.571725e+02
21,10,3,2.571725e+02
21,10,5,2.531690e+02
21,10,10,2.531690e+02
21,10,20,2.396921e+02
21,10,30,2.387481e+02
21,10,40,2.387481e+02
21,10,50,2.370951e+02
21,10,60,2.370951e+02
21,10,70,2.370951e+02
21,10,80,2.370951e+02
21,10,90,2.343816e+02
21,10,100,2.343816e+02
21,10,1,2.665899e+02
21,10,2,2.665899e+02
21,10,3,2.660738e+02
21,10,5,2.588257e+02
21,10,10,2.549822e+02
21,10,20,2.549822e+02
21,10,30,2.505791e+02
21,10,40,2.505791e+02
21,10,50,2.447629e+02
21,10,60,2.303765e+02
21,10,70,2.303765e+02
21,10,80,2.303765e+02
21,10,90,2.303765e+02
21,10,100,2.303765e+02
21,10,1,2.463303e+02
21,10,2,2.411929e+02
21,10,3,2.407778e+02
21,10,5,2.403503e+02
21,10,10,2.398562e+02
21,10,20,2.392428e+02
21,10,30,2.391382e+02
21,10,40,2.390908e+02
21,10,50,2.390717e+02
21,10,60,2.390036e+02
21,10,70,2.389848e+02
21,10,80,2.389659e+02
21,10,90,2.389480e+02
21,10,100,2.389385e+02
21,10,1,2.635369e+02
21,10,2,2.594059e+02
21,10,3,2.594059e+02
21,10,5,2.552922e+02
21,10,10,1.085344e+02
21,10,20,1.056328e+02
21,10,30,1.047981e+02
21,10,40,1.046807e+02
21,10,50,1.044195e+02
21,10,60,1.043033e+02
21,10,70,1.041317e+02
21,10,80,1.037955e+02
21,10,90,1.031936e+02
21,10,100,1.022880e+02
21,10,1,2.596619e+02
21,10,2,2.568828e+02
21,10,3,2.494461e+02
21,10,5,1.190354e+02
21,10,10,1.118438e+02
21,10,20,1.082079e+02
21,10,30,1.063739e+02
21,10,40,1.056723e+02
21,10,50,1.049894e+02
21,10,60,1.043245e+02
21,10,70,1.034021e+02
21,10,80,1.020437e+02
21,10,1,2.501248e+02
21,10,2,2.425086e+02
21,10,3,2.389779e+02
21,10,5,2.373259e+02
21,10,10,2.370174e+02
21,10,20,2.347424e+02
21,10,30,2.338895e+02
21,10,40,2.337366e+02
21,10,50,1.101312e+02
21,10,60,1.049045e+02
21,10,70,1.030424e+02
21,10,80,1.026765e+02
21,10,90,1.022558e+02
21,10,100,1.022558e+02
21,10,1,2.853338e+02
21,10,2,2.709266e+02
21,10,3,2.644871e+02
21,10,5,2.540669e+02
21,10,10,2.461511e+02
21,10,20,2.433431e+02
21,10,30,2.430529e+02
21,10,40,2.428350e+02
21,10,50,1.256677e+02
21,10,60,1.050405e+02
21,10,70,1.035237e+02
21,10,80,1.027909e+02
21,10,90,1.025466e+02
21,10,100,1.025466e+02
21,10,1,2.465995e+02
21,10,2,2.415166e+02
21,10,3,2.397546e+02
21,10,5,2.372960e+02
21,10,10,2.263112e+02
21,10,20,2.166068e+02
21,10,30,2.144644e+02
21,10,40,2.142418e+02
21,10,50,1.102727e+02
21,10,60,1.074212e+02
21,10,70,1.035387e+02
21,10,80,1.031035e+02
21,10,90,1.025792e+02
21,10,100,1.025677e+02
21,10,1,2.935465e+02
21,10,2,2.925594e+02
21,10,3,1.406656e+02
21,10,5,1.124678e+02
21,10,10,1.061997e+02
21,10,20,1.048707e+02
21,10,30,1.045254e+02
21,10,40,1.034078e+02
21,10,50,1.024192e+02
21,10,60,1.011310e+02
21,10,70,1.006426e+02
21,10,80,1.005326e+02
21,10,90,1.005046e+02
21,10,100,1.005046e+02
21,10,1,2.912559e+02
21,10,2,2.908599e+02
21,10,3,2.460430e+02
21,10,5,2.438022e+02
21,10,10,2.340170e+02
21,10,20,2.253211e+02
21,10,30,2.233050e+02
21,10,40,2.233050e+02
21,10,50,2.233050e+02
21,10,60,2.233050e+02
21,10,70,1.044235e+02
21,10,80,1.041415e+02
21,10,90,1.041415e+02
21,10,100,1.041415e+02
21,10,1,2.592124e+02
21,10,2,2.560603e+02
21,10,3,2.558157e+02
21,10,5,2.363728e+02
21,10,10,1.649453e+02
21,10,20,1.040176e+02
21,10,30,1.034667e+02
21,10,40,1.034008e+02
21,10,50,1.032222e+02
21,10,60,1.031381e+02
21,10,70,1.022465e+02
21,10,80,1.022465e+02
21,10,90,1.022403e+02
21,10,100,1.018076e+02
21,10,1,2.700201e+02
21,10,2,2.571762e+02
21,10,3,2.561576e+02
21,10,5,1.761222e+02
21,10,10,1.139725e+02
21,10,20,1.051425e+02
21,10,30,1.018099e+02
21,10,40,1.014131e+02
21,10,50,1.012994e+02
21,10,60,1.012994e+02
21,10,70,1.003942e+02
21,10,80,1.003942e+02
21,10,90,1.003622e+02
21,10,100,1.003622e+02
21,10,1,3.357215e+02
21,10,2,2.550469e+02
21,10,3,2.474611e+02
21,10,5,2.398780e+02
21,10,10,2.278151e+02
21,10,20,1.816082e+02
21,10,30,1.054902e+02
21,10,40,1.047027e+02
21,10,50,1.042689e+02
21,10,60,1.035417e+02
21,10,70,1.029921e+02
21,10,80,1.021292e+02
21,10,90,1.016102e+02
21,10,100,1.014381e+02
21,10,1,3.357215e+02
21,10,2,2.872577e+02
21,10,3,2.441302e+02
21,10,5,2.441302e+02
21,10,10,1.703275e+02
21,10,20,1.445332e+02
21,10,30,1.373235e+02
21,10,40,1.351489e+02
21,10,50,1.266383e+02
21,10,60,1.178951e+02
21,10,70,1.125225e+02
21,10,80,1.112243e+02
21,10,90,1.098181e+02
21,10,100,1.098181e+02
21,10,1,3.357215e+02
21,10,2,3.081401e+02
21,10,3,2.960165e+02
21,10,5,2.409629e+02
21,10,10,2.007332e+02
21,10,20,1.701271e+02
21,10,30,1.404023e+02
21,10,40,1.167458e+02
21,10,50,1.143560e+02
21,10,60,1.115862e+02
21,10,70,1.093921e+02
21,10,80,1.087294e+02
21,10,90,1.087294e+02
21,10,100,1.087294e+02
21,10,1,3.357215e+02
21,10,2,3.305854e+02
21,10,3,2.235411e+02
21,10,5,2.235411e+02
21,10,10,2.235411e+02
21,10,20,2.235411e+02
21,10,30,2.187003e+02
21,10,40,2.187003e+02
21,10,50,2.187003e+02
21,10,60,2.187003e+02
21,10,70,2.187003e+02
21,10,80,1.468190e+02
21,10,90,1.363314e+02
21,10,100,1.363314e+02
21,10,1,3.357215e+02
21,10,2,2.991032e+02
21,10,3,2.991032e+02
21,10,5,2.912393e+02
21,10,10,2.912393e+02
21,10,20,2.469466e+02
21,10,30,1.920313e+02
21,10,40,1.920313e+02
21,10,50,1.920313e+02
21,10,60,1.920313e+02
21,10,70,1.920313e+02
21,10,80,1.703667e+02
21,10,90,1.215711e+02
21,10,100,1.215711e+02
21,10,1,3.357215e+02
21,10,2,2.763692e+02
21,10,3,2.298890e+02
21,10,5,1.518760e+02
21,10,10,1.245322e+02
21,10,20,1.108275e+02
21,10,30,1.073893e+02
21,10,40,1.056526e+02
21,10,50,1.033391e+02
21,10,60,1.024235e+02
21,10,70,1.021062e+02
21,10,80,1.018329e+02
21,10,90,1.011286e+02
21,10,100,1.009924e+02
21,10,1,3.357215e+02
21,10,2,2.762987e+02
21,10,3,2.756346e+02
21,10,5,2.623742e+02
21,10,10,2.416372e+02
21,10,20,2.373289e+02
21,10,30,2.373289e+02
21,10,40,2.373289e+02
21,10,50,2.373289e+02
21,10,60,2.366601e+02
21,10,70,2.366601e+02
21,10,80,1.267252e+02
21,10,90,1.075735e+02
21,10,100,1.063426e+02
